2026/09/16 16:40:07.540, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 118.72 W
2026/09/16 16:40:08.044, NVIDIA L40S, 580.173.02, 4411 MiB, 24 %, 118.36 W
2026/09/16 16:40:08.544, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 130.32 W
2026/09/16 16:40:09.044, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 133.15 W
2026/09/16 16:40:09.544, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 132.42 W
2026/09/16 16:40:10.044, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 134.24 W
2026/09/16 16:40:10.544, NVIDIA L40S, 580.173.02, 4411 MiB, 21 %, 130.28 W
2026/09/16 16:40:11.045, NVIDIA L40S, 580.173.02, 4411 MiB, 4 %, 115.78 W
2026/09/16 16:40:11.545, NVIDIA L40S, 580.173.02, 4411 MiB, 23 %, 117.74 W
2026/09/16 16:40:12.045, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 127.27 W
2026/09/16 16:40:12.545, NVIDIA L40S, 580.173.02, 4411 MiB, 24 %, 126.43 W
2026/09/16 16:40:13.045, NVIDIA L40S, 580.173.02, 4411 MiB, 24 %, 127.41 W
2026/09/16 16:40:13.545, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 128.70 W
2026/09/16 16:40:14.046, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 130.87 W
2026/09/16 16:40:14.546, NVIDIA L40S, 580.173.02, 4411 MiB, 26 %, 133.35 W
2026/09/16 16:40:15.046, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 119.93 W
2026/09/16 16:40:15.546, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 119.35 W
2026/09/16 16:40:16.046, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 125.82 W
2026/09/16 16:40:16.547, NVIDIA L40S, 580.173.02, 4411 MiB, 21 %, 125.82 W
2026/09/16 16:40:17.047, NVIDIA L40S, 580.173.02, 4411 MiB, 25 %, 128.97 W
