2026/09/16 16:40:09.307, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:09.809, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:10.309, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:10.809, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:11.309, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:11.809, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:12.309, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.84 W
2026/09/16 16:40:12.809, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.84 W
2026/09/16 16:40:13.310, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.84 W
2026/09/16 16:40:13.810, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.84 W
2026/09/16 16:40:14.310, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:14.810, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:15.310, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:15.810, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:16.311, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:16.811, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:17.311, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.56 W
2026/09/16 16:40:17.811, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.56 W
2026/09/16 16:40:18.311, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:18.811, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.68 W
2026/09/16 16:40:19.311, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:19.812, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:20.312, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:40:20.812, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
