2026/09/16 16:40:10.868, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:11.370, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:11.870, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:12.370, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:12.870, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:13.370, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:13.871, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:14.371, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:14.871, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:15.371, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:15.871, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:16.371, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:16.871, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:17.372, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:17.872, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:18.372, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:18.872, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:19.372, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:19.873, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.82 W
2026/09/16 16:40:20.373, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.82 W
2026/09/16 16:40:20.873, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:21.373, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:21.873, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:22.373, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:22.874, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:23.374, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:23.874, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:24.374, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:24.874, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:25.374, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:25.874, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.69 W
2026/09/16 16:40:26.375, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.69 W
2026/09/16 16:40:26.875, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:27.375, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:27.875, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:28.375, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:28.875, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:29.375, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:29.876, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:30.376, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:30.876, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:31.376, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:31.876, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:32.376, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:32.877, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:33.377, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:33.877, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:34.377, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:34.877, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:35.377, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:35.878, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:36.378, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:36.878, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:37.378, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:37.878, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:38.378, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:38.878, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:40:39.379, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:40:39.879, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.79 W
2026/09/16 16:40:40.379, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.79 W
2026/09/16 16:40:40.879, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.71 W
2026/09/16 16:40:41.379, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.71 W
2026/09/16 16:40:41.879, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.82 W
2026/09/16 16:40:42.380, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.82 W
2026/09/16 16:40:42.880, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:40:43.380, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:40:43.880, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:44.380, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:44.880, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:45.381, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:45.881, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:46.381, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:46.881, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:47.381, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:47.881, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:48.382, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.58 W
2026/09/16 16:40:48.882, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.61 W
2026/09/16 16:40:49.382, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.61 W
2026/09/16 16:40:49.882, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:50.382, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:50.882, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:51.383, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:40:51.883, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:52.383, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:52.883, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:53.383, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:53.883, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:54.384, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:54.884, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:55.384, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:55.884, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:56.384, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:56.885, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:57.385, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:40:57.885, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:58.385, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:58.886, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:59.386, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:40:59.886, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:00.386, NVIDIA L40S, 580.173.02, 1711 MiB, 14 %, 105.15 W
2026/09/16 16:41:00.886, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.58 W
2026/09/16 16:41:01.387, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 106.37 W
2026/09/16 16:41:01.887, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.20 W
2026/09/16 16:41:02.387, NVIDIA L40S, 580.173.02, 1711 MiB, 16 %, 104.50 W
2026/09/16 16:41:02.887, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 106.66 W
2026/09/16 16:41:03.388, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 107.32 W
2026/09/16 16:41:03.888, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.59 W
